id,slug,sources,verdict_mini,confidence_mini,verdict_4o,confidence_4o,final_verdict,unsupported_count,contradicted_count,reasoning,wiki_url,ol_id
930,cacau-amado,Wikipedia,CONTRADICTED,high,,,CONTRADICTED,0,1,"The source text does not pertain to the book 'Cacau' by Jorge Amado, but instead describes a different individual, Catarina Amado, leading to a direct mismatch.",https://en.wikipedia.org/wiki/Catarina_Amado,OL1248278W
920,encyclopedie-diderot,Wikipedia,VERIFIED,high,,,VERIFIED,0,0,"The AI-written description accurately reflects the key themes and purposes of the Encyclopédie as described in the source, with no contradictions or unsupported claims.",https://en.wikipedia.org/wiki/Encyclop%C3%A9die,OL19068738W
828,the-forging-of-a-rebel,Wikipedia|OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,3,1,"The AI description incorrectly implies that the memoir directly chronicles Barea's involvement in the Spanish Civil War, while the source focuses on his childhood and early experiences leading up to that period.",https://en.wikipedia.org/wiki/The_Forging_of_a_Rebel,OL1202292W
924,the-system-of-nature,Wikipedia,VERIFIED,high,,,VERIFIED,0,0,"The AI-written description accurately reflects the key themes and arguments of 'The System of Nature' as outlined in the source, with no contradictions or unsupported claims present.",https://en.wikipedia.org/wiki/The_System_of_Nature,OL2418957W
1006,the-house-of-gold,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
931,suor-amado,Wikipedia,NEEDS_REVIEW,medium,NEEDS_REVIEW,medium,NEEDS_REVIEW,4,0,The source provides a biography of Jorge Amado but does not mention the book 'Suor' or its plot details. The claims about the book's themes and narrative are not covered in the source.,https://en.wikipedia.org/wiki/Jorge_Amado,OL1248270W
1009,the-yoke,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1008,six-women,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL5780332W
1013,how-to-prevent-pregnancy,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1012,wise-parenthood,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL24385797W
1007,five-nights,Wikipedia,CONTRADICTED,high,,,CONTRADICTED,1,1,"The AI description presents a narrative focus on a young woman's experiences, which contradicts the source's information that describes a film adaptation rather than the novel's content.",https://en.wikipedia.org/wiki/Five_Nights,OL5780331W
1015,sylvias-marriage,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL115063W
1016,la-vie-parisienne,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL9275201W
1010,the-interpretation-of-dreams,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main themes and significance of Freud's work as outlined in the source, with only one claim about specific techniques not being directly mentioned.",https://en.wikipedia.org/wiki/The_Interpretation_of_Dreams,OL1069300W
1018,safe-marriage,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1014,over-lifes-edge,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,0,1,"The source text describes a different work, 'American Film', which is a magazine, not the novel 'Over Life's Edge' by Victoria Cross.",,OL17597290W
1022,the-black-prophet,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1020,a-handbook-of-marxism,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL18279627W
1021,the-hindu-art-of-love,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL220681W
1023,soviet-foreign-policy-finland,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL1150659W
1025,truth-and-mr-chamberlain,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL1086528W
1024,questions-and-answers-on-communism,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,0,2,"The source describes 'Antony and Cleopatra' by Shakespeare, which is a different work than 'Questions and Answers on Communism' by J. R. Campbell, leading to a direct contradiction.",,OL362695W
1026,falsehood-in-war-time,Wikipedia,VERIFIED,high,,,VERIFIED,0,0,"The AI description accurately reflects the main themes and focus of Ponsonby's book as confirmed by the source, with no contradictions or unsupported claims.",https://en.wikipedia.org/wiki/Falsehood_in_War-Time,OL6372619W
1030,intimate-embrace,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL43646779W
1031,snatches-and-lays,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1028,the-joy-of-sex,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the content and significance of 'The Joy of Sex' as described in the source, with all major claims supported. The only claim not explicitly mentioned in the source is the focus on communication and emotional connection.",https://en.wikipedia.org/wiki/The_Joy_of_Sex,OL28928824W
1032,john-and-mimi,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL15835232W
1037,diva-obsexion,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1027,marijuana-growers-guide,OpenLibrary,NEEDS_REVIEW,medium,NEEDS_REVIEW,medium,NEEDS_REVIEW,4,0,"The source confirms the book is a comprehensive guide for growing marijuana but does not cover specific details about horticultural techniques, strain selection, pest management, or its impact on legalization and acceptance.",,OL2587851W
1029,more-joy-of-sex,OpenLibrary,NEEDS_REVIEW,medium,CONTRADICTED,high,CONTRADICTED,0,1,"The source text describes bookbanning incidents, which do not match the content or themes of 'More Joy of Sex' as described by the AI. This indicates a wrong-book mismatch.",,OL2736537W
1036,boobytraps,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL483972W
1038,the-great-big-narcotics-cookbook,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1040,the-seventh-acolyte-reader,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL38953971W
1033,joy-laurey,Wikipedia,CONTRADICTED,high,,,CONTRADICTED,1,1,"The AI description presents a narrative focused on personal loss and self-identity, which contradicts the source's classification of 'Joy' as an erotic novel, indicating a mismatch in the book's content.",https://en.wikipedia.org/wiki/Joy_Laurey,OL22686605W
1041,holiday-snapshots,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL9058212W
1043,psilocybin-mushrooms-of-the-world,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL3264350W
1046,the-bargaining-for-israel,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1044,the-big-book-of-buds,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL21868175W
1045,advanced-techniques-clandestine-manufacture,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL2016597W
1049,a-fundamental-fear,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1048,lifting-the-veil,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL9715547W
1050,islam-revealed,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL4844619W
1052,mini-skirts-mothers-and-muslims,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL41298950W
1039,behind-closed-doors-reyes,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,1,1,"The AI description presents a different focus on a singular protagonist and her lover, while the source describes a dual perspective narrative involving both a woman and a man, leading to a contradiction.",,OL706810W
1047,islam-gordon,Wikipedia,CONTRADICTED,high,,,CONTRADICTED,0,1,"The source describes a different individual, Gordon Lam, and does not provide any information about a book titled 'Islam' by Matthew S. Gordon.",https://en.wikipedia.org/wiki/Gordon_Lam,OL18300411W
1055,mengenal-allah-melalui-agama-agama-purba,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1058,the-road-to-muhammad,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1056,confessions-a-secret-diary,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL21047635W
1053,the-battle-for-god,Wikipedia,VERIFIED,high,,,VERIFIED,2,0,"The AI description accurately reflects the main themes and details of the book as confirmed by the source. While there are some claims not explicitly mentioned in the source, they do not contradict the information provided.",https://en.wikipedia.org/wiki/The_Battle_for_God,
1054,hidden-agendas-leigh,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,2,3,"The AI description presents different main characters and plot elements than those found in the source, indicating a mismatch in the book being described.",,OL8110214W
1059,mutiara-sastra-ali,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1061,agama-masa-depan,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1060,perjalanan-yang-cemerlang,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1063,its-all-about-muhammad,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1064,gay-is-ok,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1065,rebirth-reformasi,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1067,jacobs-room-to-choose,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1062,intense-pleasure-leigh,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,2,1,"The AI description misrepresents the number of main characters and their relationships, focusing on two instead of three. Additionally, while some themes are implied, they are not explicitly mentioned in the source.",,OL20045174W
1069,marx-sang-pendidik-revolusioner,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1057,islam-dan-teologi-pembebasan,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL23732055W
1070,koleksi-puisi-masturbasi,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1071,memoir-shamsiah-fakeh,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1066,the-tale-of-steven,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,2,2,"The source describes a different work by Joseph Conrad, which is not related to the AI's description of 'The Tale of Steven'.",,OL39108W
1072,komrad-asi-rejimen-10,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1073,politics-for-the-common-people,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1074,politics-of-a-police-state,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1068,aku-malaysia,Wikipedia|OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,1,1,"The source text does not pertain to the book 'Aku' and instead discusses anonymous functions in programming, indicating a mismatch in the subject matter.",https://en.wikipedia.org/wiki/Anonymous_function,OL53908W
1075,handbook-nonviolent-resistance,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1077,handbook-support-prisoners-of-conscience,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1076,overview-marine-life-disaster-vietnam,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1078,the-winning-side-huy-duc,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1083,a-spoon-on-earth,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1084,guerillas-of-the-kingdom-of-samsung,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1082,bad-samaritans,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main themes and arguments of the book as outlined in the source. The only claim not explicitly covered in the source is the significance of the book's insights, which is a subjective interpretation.",https://en.wikipedia.org/wiki/Bad_Samaritans_(book),
1079,a-tale-for-2000,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL19942767W
1086,auf-der-universitat,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL36059462W
1085,the-global-trap,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the themes and significance of the book as described in the source, with no contradictions found. The claim about using vivid anecdotes is not mentioned in the source, but it does not contradict any information provided.",https://en.wikipedia.org/wiki/The_Global_Trap,
1081,what-uncle-sam-really-wants,Wikipedia,VERIFIED,high,,,VERIFIED,0,0,The AI-written description accurately reflects Chomsky's critiques of U.S. foreign policy and aligns with his established views as noted in the source text.,https://en.wikipedia.org/wiki/Noam_Chomsky,OL71676W
1088,respect-chavez-perez,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL20112382W
1093,skin-and-bones,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1087,slots-shin,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,0,1,"The AI description presents a completely different narrative focused on gambling, while the source describes a children's story about a boy and animals, indicating a mismatch in the works.",,OL14960072W
1096,anatomy-of-a-boyfriend,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1080,year-501-chomsky,Wikipedia,CONTRADICTED,high,,,CONTRADICTED,5,1,"The AI description includes a specific focus on the United States' role in global affairs, which is not mentioned in the source. This inconsistency leads to a verdict of contradicted.",https://en.wikipedia.org/wiki/Year_501%3A_The_Conquest_Continues,OL18183960W
1094,lady-midnight,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,1,0,"The AI-written description accurately reflects the main elements of the book as confirmed by the source texts, with no contradictions found. The only claim not explicitly mentioned in the source is the romantic subplot, which is not detailed but is a common interpretation of the characters' relationship.",https://en.wikipedia.org/wiki/Lady_Midnight,OL22943437W
1092,forbidden,OpenLibrary,VERIFIED,high,,,VERIFIED,2,0,"The AI description accurately reflects the main plot and themes of the book as described in the source, with no contradictions found. Some claims about the emotional depth and moral challenges are not explicitly mentioned in the source but are reasonable interpretations of the themes.",,OL15728589W
1100,darius-the-great-deserves-better,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1097,house-of-sky-and-breath,Wikipedia,VERIFIED,high,,,VERIFIED,4,0,"The AI description accurately reflects the main characters and themes of the series as confirmed by the source. While some specific plot details are not mentioned in the source, they do not contradict any information provided.",https://en.wikipedia.org/wiki/Crescent_City_(novel_series),
1098,lullaby,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main plot and themes of the novel as described in the source. There are no contradictions, and only one claim about questioning media morality is not explicitly mentioned in the source.",https://en.wikipedia.org/wiki/Lullaby_(Palahniuk_novel),
1102,one-last-stop,Wikipedia,CONTRADICTED,high,,,CONTRADICTED,2,1,"The AI description incorrectly identifies August as a college student instead of a pseudo detective, which contradicts the source. Other claims about themes and emotional resonance are not covered in the source.",https://en.wikipedia.org/wiki/One_Last_Stop,
1099,untamed,Wikipedia,NEEDS_REVIEW,medium,NEEDS_REVIEW,medium,NEEDS_REVIEW,4,0,The source provides a plot synopsis and publication details but does not cover thematic elements or the broader narrative analysis presented in the AI description.,https://en.wikipedia.org/wiki/Untamed_(Cast_novel),
1103,betrayed,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main plot points and themes of the book as confirmed by the source. There are no contradictions, and only one claim is not explicitly mentioned in the source.",https://en.wikipedia.org/wiki/Betrayed_(Cast_novel),OL14957436W
1104,alice-on-the-outside,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,3,1,"The AI description introduces a specific plot point about Alice's mother's absence that is not mentioned in the source, leading to a contradiction. Other claims about themes and character development are not covered in the source, resulting in several not-in-source claims.",,OL13398W
1105,the-stars-and-the-blackness-between-them,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI-written description accurately reflects the main elements of the book as confirmed by the source, with only one claim about societal challenges being absent from the source.",https://en.wikipedia.org/wiki/The_Stars_and_the_Blackness_Between_Them,
1109,georgia-peaches-and-other-forbidden-fruit,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1106,city-of-heavenly-fire,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main elements of the book as confirmed by the source, with no contradictions found. One claim about exploring complexities of love and identity is not explicitly mentioned in the source.",https://en.wikipedia.org/wiki/City_of_Heavenly_Fire,
1108,emergency-contact,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1110,heres-to-us,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1112,cool-for-the-summer,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1111,the-gentlemans-guide-to-vice-and-virtue,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1119,a-girl-like-that,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1120,loveless,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1115,haunted,Wikipedia,VERIFIED,high,,,VERIFIED,3,0,"The AI description accurately reflects the main themes and structure of the novel as described in the source. While some claims are not explicitly mentioned in the source, they align well with the overall interpretation of the book.",https://en.wikipedia.org/wiki/Haunted_(Palahniuk_novel),
1118,after,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1113,skin,Wikipedia|OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,1,1,"The AI description incorrectly names the protagonist as Francesca instead of Sep, which is a significant detail that contradicts the source material.",https://en.wikipedia.org/wiki/Napoli_San_Giovanni%E2%80%93Barra_railway_station,OL17867680W
1114,beautiful-disaster,OpenLibrary,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main characters and themes of the book as described in the source. The only claim not explicitly supported by the source is the significance of the novel's exploration of toxic relationships, which is not mentioned in the source text.",,OL16310814W
1124,choke,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1123,brazen-rebel-ladies-who-rocked-the-world,Wikipedia,VERIFIED,high,,,VERIFIED,0,0,"The AI description accurately reflects the content and themes of the book as described in the source, with no contradictions or unsupported claims.",https://en.wikipedia.org/wiki/Les_Culott%C3%A9es,
1122,both-can-be-true,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL24703208W
1125,girls-of-paper-and-fire,Wikipedia,VERIFIED,high,,,VERIFIED,2,0,"The AI description accurately reflects the main plot points and themes of the book as confirmed by the source. While it includes additional themes not explicitly mentioned in the source, these do not contradict the information provided.",https://en.wikipedia.org/wiki/Girls_of_Paper_and_Fire_(book),
1128,sleeping-beauties,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1127,skeleton-crew,OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"The AI-written description accurately reflects the content and themes of ""Skeleton Crew"" as described in the source text, with no contradictions or unsupported claims.",,OL81627W
1126,grit,Wikipedia|OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,3,1,"The AI description incorrectly identifies the protagonist's name as Harrow instead of Darcy Prentiss, which is a direct contradiction. Additionally, the source does not provide details about the themes or plot elements mentioned in the AI description.",https://en.wikipedia.org/wiki/French_Guiana,OL20057441W
1129,someone-i-used-to-know,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,1,1,"The AI description misrepresents the main characters and their relationship, focusing on estranged classmates rather than Ashley and Vic, which contradicts the source's information.",,OL19751531W
1130,the-black-friend-on-being-a-better-white-person,Wikipedia,VERIFIED,high,,,VERIFIED,2,0,"The AI description aligns well with the source, confirming major claims about the book's content and purpose. There are no contradictions, and while some claims are not explicitly mentioned in the source, they are consistent with the overall themes presented.",https://en.wikipedia.org/wiki/The_Black_Friend,
1131,the-green-mile,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,2,1,"The AI description incorrectly states that the story is set during the Great Depression, which is not mentioned in the source. Other claims are supported, but some thematic elements are not covered in the source.",,OL81629W
1132,the-handsome-girl-and-her-beautiful-boy,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1133,the-kite-runner-graphic-novel,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1134,the-letter-q-queer-writers-notes-to-their-younger-selves,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1136,the-honeys,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1135,you-too-25-voices-share-their-metoo-stories,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1138,the-ship-we-built,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1139,heartstopper-vol-5,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1142,once-and-future,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1140,rant-the-oral-biography-of-buster-casey,Wikipedia,VERIFIED,high,,,VERIFIED,2,0,"The AI description accurately reflects the main elements of the book, including its structure and themes, as supported by the source. However, it includes additional thematic interpretations that are not explicitly mentioned in the source.",https://en.wikipedia.org/wiki/Rant_(novel),
1145,home-body,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL23962332W
1146,the-past-and-other-things-that-should-stay-buried,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1149,a-certain-slant-of-light,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,
1141,if-i-was-your-girl,OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"The AI-written description accurately reflects the key elements of the book as described in the source, with no contradictions and all major claims supported.",,OL17357733W
1143,princess-on-the-brink,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,2,2,"The AI description claims this is the eighth installment and suggests themes and character development not explicitly mentioned in the source, leading to contradictions.",,OL492865W
1154,assassination-classroom-vol-2,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main themes and premise of the series as described in the source. There are no contradictions, and while some claims about character development are not explicitly mentioned in the source, they are consistent with the overall narrative.",https://en.wikipedia.org/wiki/Assassination_Classroom,
1152,assassination-classroom-vol-1,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the main plot and themes of 'Assassination Classroom, Vol. 1' as confirmed by the source. There are no contradictions, and only one claim is not explicitly mentioned in the source.",https://en.wikipedia.org/wiki/Assassination_Classroom,OL19622660W
1155,assassination-classroom-vol-3,Wikipedia,NEEDS_REVIEW,medium,NEEDS_REVIEW,medium,NEEDS_REVIEW,3,0,"The source confirms the basic premise of Koro-sensei teaching Class 3-E with assassination training, but does not provide details specific to Volume 3 or the thematic elements mentioned in the AI description.",https://en.wikipedia.org/wiki/Assassination_Classroom,
